id,total,date
1,27,2019-12-31
2,27,2020-01-01
3,27,2020-01-02
4,44,2020-01-03
5,44,2020-01-04
6,59,2020-01-05
7,59,2020-01-06
8,59,2020-01-07
9,59,2020-01-08
10,59,2020-01-09
11,59,2020-01-10
12,59,2020-01-11
13,59,2020-01-12
14,60,2020-01-13
15,60,2020-01-14
16,61,2020-01-15
17,61,2020-01-16
18,66,2020-01-17
19,83,2020-01-18
20,219,2020-01-19
21,239,2020-01-20
22,392,2020-01-21
23,534,2020-01-22
24,631,2020-01-23
25,897,2020-01-24
26,1350,2020-01-25
27,2023,2020-01-26
28,2820,2020-01-27
29,4587,2020-01-28
30,6067,2020-01-29
31,7823,2020-01-30
32,9824,2020-01-31
33,11946,2020-02-01
34,14554,2020-02-02
35,17372,2020-02-03
36,20615,2020-02-04
37,24523,2020-02-05
38,28274,2020-02-06
39,31492,2020-02-07
40,34934,2020-02-08
41,37552,2020-02-09
42,40544,2020-02-10
43,43106,2020-02-11
44,45178,2020-02-12
45,60329,2020-02-13
46,64544,2020-02-14
47,67104,2020-02-15
48,69266,2020-02-16
49,71333,2020-02-17
50,73328,2020-02-18
51,75192,2020-02-19
52,75724,2020-02-20
53,76720,2020-02-21
54,77805,2020-02-22
55,78814,2020-02-23
56,79337,2020-02-24
57,80130,2020-02-25
58,80997,2020-02-26
59,82111,2020-02-27
60,83381,2020-02-28
61,85237,2020-02-29
62,87061,2020-03-01
63,89149,2020-03-02
64,91002,2020-03-03
65,93310,2020-03-04
66,95645,2020-03-05
67,98704,2020-03-06
68,102841,2020-03-07
69,106811,2020-03-08
70,110985,2020-03-09
71,115746,2020-03-10
72,120832,2020-03-11
73,128670,2020-03-12
74,138137,2020-03-13
75,148544,2020-03-14
76,160784,2020-03-15
77,173287,2020-03-16
78,187495,2020-03-17
79,204424,2020-03-18
80,224629,2020-03-19
81,255706,2020-03-20
82,287636,2020-03-21
83,321844,2020-03-22
84,356236,2020-03-23
85,400575,2020-03-24
86,442988,2020-03-25
87,496656,2020-03-26
88,557686,2020-03-27
89,622656,2020-03-28
90,685566,2020-03-29
91,742914,2020-03-30
92,807330,2020-03-31
93,881932,2020-04-01
94,959406,2020-04-02
95,1036835,2020-04-03
96,1118683,2020-04-04
97,1203938,2020-04-05
98,1270303,2020-04-06
99,1343273,2020-04-07
100,1420275,2020-04-08
101,1505276,2020-04-09
102,1592599,2020-04-10
103,1682196,2020-04-11
104,1757569,2020-04-12
105,1825966,2020-04-13
106,1890714,2020-04-14
107,1967232,2020-04-15
108,2045462,2020-04-16
109,2129384,2020-04-17
110,2211142,2020-04-18
111,2290779,2020-04-19
112,2361528,2020-04-20
113,2435191,2020-04-21
114,2521683,2020-04-22
115,2587988,2020-04-23
116,2666467,2020-04-24
117,2739291,2020-04-25
118,2839209,2020-04-26
119,2921055,2020-04-27
120,2986603,2020-04-28
121,3058804,2020-04-29
122,3137485,2020-04-30
123,3222972,2020-05-01
124,3311542,2020-05-02
125,3392435,2020-05-03
126,3469566,2020-05-04
127,3546029,2020-05-05
128,3624551,2020-05-06
129,3712065,2020-05-07
130,3804409,2020-05-08
131,3893565,2020-05-09
132,3982562,2020-05-10
133,4057375,2020-05-11
134,4126997,2020-05-12
135,4213069,2020-05-13
136,4299273,2020-05-14
137,4395832,2020-05-15
138,4492985,2020-05-16
139,4586023,2020-05-17
140,4665737,2020-05-18
141,4751918,2020-05-19
142,4847222,2020-05-20
143,4950451,2020-05-21
144,5058264,2020-05-22
145,5164169,2020-05-23
146,5264165,2020-05-24
147,5357380,2020-05-25
148,5446116,2020-05-26
149,5539752,2020-05-27
150,5642418,2020-05-28
151,5760787,2020-05-29
152,5882832,2020-05-30
153,6010975,2020-05-31
154,6117856,2020-06-01
155,6217775,2020-06-02
156,6330035,2020-06-03
157,6456716,2020-06-04
158,6583683,2020-06-05
159,6716782,2020-06-06
160,6842946,2020-06-07
161,6958156,2020-06-08
162,7063505,2020-06-09
163,7188601,2020-06-10
164,7322910,2020-06-11
165,7459242,2020-06-12
166,7603932,2020-06-13
167,7737560,2020-06-14
168,7859025,2020-06-15
169,7977608,2020-06-16
170,8118810,2020-06-17
171,8295450,2020-06-18
172,8433887,2020-06-19
173,8612990,2020-06-20
174,8772608,2020-06-21
175,8901484,2020-06-22
176,9037813,2020-06-23
177,9202303,2020-06-24
178,9377088,2020-06-25
179,9556113,2020-06-26
180,9744826,2020-06-27
181,9926099,2020-06-28
182,10085887,2020-06-29
183,10245849,2020-06-30
184,10437915,2020-07-01
185,10638848,2020-07-02
186,10847733,2020-07-03
187,11053342,2020-07-04
188,11244042,2020-07-05
189,11422007,2020-07-06
190,11597677,2020-07-07
191,11804624,2020-07-08
192,12020111,2020-07-09
193,12245398,2020-07-10
194,12477055,2020-07-11
195,12694741,2020-07-12
196,12890134,2020-07-13
197,13079338,2020-07-14
198,13302894,2020-07-15
199,13534797,2020-07-16
200,13789293,2020-07-17
201,14043840,2020-07-18
202,14273814,2020-07-19
203,14483146,2020-07-20
204,14684547,2020-07-21
205,14924225,2020-07-22
206,15205899,2020-07-23
207,15482233,2020-07-24
208,15766129,2020-07-25
209,16025616,2020-07-26
210,16257424,2020-07-27
211,16469671,2020-07-28
212,16713292,2020-07-29
213,17011386,2020-07-30
214,17301828,2020-07-31
215,17580721,2020-08-01
216,17848044,2020-08-02
217,18071749,2020-08-03
218,18276838,2020-08-04
219,18532348,2020-08-05
220,18809696,2020-08-06
221,19095909,2020-08-07
222,19371799,2020-08-08
223,19640049,2020-08-09
224,19869325,2020-08-10
225,20089800,2020-08-11
226,20350862,2020-08-12
227,20639877,2020-08-13
228,20926782,2020-08-14
229,21216025,2020-08-15
230,21475428,2020-08-16
231,21707573,2020-08-17
232,21904643,2020-08-18
233,22159548,2020-08-19
234,22440517,2020-08-20
235,22714274,2020-08-21
236,22977973,2020-08-22
237,23243621,2020-08-23
238,23441581,2020-08-24
